,New_project_source_CB,Carbon_bomb_name,Company,Percentage,Potential_GtCO2_source_CB,GtCO2_by_Company,Company_name,Company_Country
189,True,Gething Coal Mine,CKD Mines,100.0,2.0808216,2.0808216,CKD Mines,Canada
190,False,Gevra Coal Mine,Coal India Ltd,100.0,2.43019602,2.43019602,Coal India Ltd,India
191,False,Ghawar Ain Dar N,No informations on company,100.0,2.088574939,2.088574939,,
192,False,Ghawar Ain Dar S,No informations on company,100.0,1.43464453,1.43464453,,
193,False,Ghawar Haradh,No informations on company,100.0,6.966827829,6.966827829,,
194,False,Ghawar Hawiyah,No informations on company,100.0,4.649714459,4.649714459,,
195,False,Ghawar Shedgum,No informations on company,100.0,5.695002943,5.695002943,,
196,False,Ghawar Uthmaniyah,No informations on company,100.0,19.22190525,19.22190525,,
197,True,Goldwyer Shale,New project,100.0,4.468806417,4.468806417,,
198,False,Goonyella-Riverside Coal Mine,Mitsubishi Corp,50.0,2.18219496,1.09109748,Mitsubishi Corp,Japan
199,False,Goonyella-Riverside Coal Mine,BHP Group Ltd,50.0,2.18219496,1.09109748,BHP Group Ltd,Australia
200,False,Gorgon LNG T1-T3,No informations on company,100.0,1.931000175,1.931000175,,
201,False,Greater Burgan,No informations on company,100.0,8.341919008,8.341919008,,
202,False,Greater Liza (Liza),No informations on company,100.0,1.002783934,1.002783934,,
203,True,Greater Soutpansberg Coal Project,Rothe Investments,26.0,2.80377372,0.7289811672000001,Rothe Investments,South Africa
204,True,Greater Soutpansberg Coal Project,MC Mining,74.0,2.80377372,2.0747925528,MC Mining,South Africa
205,True,Greater Turbot (Stabroek),CNOOC International,25.0,1.114423675,0.27860591875,CNOOC International,China
206,True,Greater Turbot (Stabroek),Exxon Mobil Corp,45.0,1.114423675,0.50149065375,Exxon Mobil Corp,United States
207,True,Greater Turbot (Stabroek),Hess Corporation,30.0,1.114423675,0.3343271025,Hess Corporation,United States
208,False,Grootegeluk Coal Mine,Exxaro Resources Ltd,100.0,6.87204672,6.872046720000001,Exxaro Resources Ltd,South Africa
209,True,Gulf Coast Centre Offshore,New project,100.0,1.106200913,1.106200913,,
210,True,Gulf Deepwater Offshore,New project,100.0,2.204840846,2.204840846,,
211,True,Guojiatan Coal Mine,Shaanxi Yulin Energy Group Co Ltd,100.0,2.1613851,2.1613851,Shaanxi Yulin Energy Group Co Ltd,China
212,False,Guojiawan Coal Mine,Fugu State-Owned Asset Management and Operation Company,21.0,1.87688292,0.39414541319999996,Fugu State-Owned Asset Management and Operation Company,China
213,False,Guojiawan Coal Mine,Others,24.0,1.87688292,0.45045190079999997,,
214,False,Guojiawan Coal Mine,Shaanxi Coal and Chemical Industry Group Co Ltd,18.0,1.87688292,0.3378389256,Shaanxi Coal and Chemical Industry Group Co Ltd,China
215,False,Guojiawan Coal Mine,China Energy Investment Corp Ltd,37.0,1.87688292,0.6944466804,China Energy Investment Corp Ltd,China
216,False,Guqiao Coal Mine,China Cinda Asset Management,8.0,2.029181352,0.16233450816,China Cinda Asset Management,China
217,False,Guqiao Coal Mine,China Energy Investment Corp Ltd,3.0,2.029181352,0.06087544056000001,China Energy Investment Corp Ltd,China
218,False,Guqiao Coal Mine,Others,6.0,2.029181352,0.12175088112000002,,
219,False,Guqiao Coal Mine,Huaihe Energy,83.0,2.029181352,1.6842205221600002,Huaihe Energy,China
220,False,Haerwusu Surface Mine,HKSCC Nominees Limited,17.0,2.0804889,0.353683113,HKSCC Nominees Limited,Hong Kong
221,False,Haerwusu Surface Mine,Others,14.0,2.0804889,0.291268446,,
222,False,Haerwusu Surface Mine,China Energy Investment Corp Ltd,69.0,2.0804889,1.435537341,China Energy Investment Corp Ltd,China
223,False,Halagou Coal Mine,HKSCC Nominees Limited,17.0,1.25939088,0.21409644960000002,HKSCC Nominees Limited,Hong Kong
224,False,Halagou Coal Mine,Others,14.0,1.25939088,0.1763147232,,
225,False,Halagou Coal Mine,China Energy Investment Corp Ltd,69.0,1.25939088,0.8689797072000001,China Energy Investment Corp Ltd,China
226,False,Halfayah,Basra Oil Company,24.9,1.409043856,0.350851920144,Basra Oil Company,Iraq
227,False,Halfayah,China National Petroleum Corporation (CNPC),37.5,1.409043856,0.5283914460000001,China National Petroleum Corporation (CNPC),China
228,False,Halfayah,Petroliam Nasional Berhad,18.8,1.409043856,0.264900244928,Petroliam Nasional Berhad,Malaysia
