Parent_Company GEM,BOCC_company_name,total_potential_emissions,Proposition BOCC,Niveau de confiance (1 - 3 sur),Respo,checked (1),Justification ,Comment
New Hope Group,Washington H Soul Pattinson &,"0,203",Washington H Soul Pattinson &,2,Personne 4,1,https://www.gem.wiki/Bengalla_Coal_Mine,Washignton H a 39.24% de New Hope Group. Les autres proprietaires n'aparaissent pas dans la liste BOCC
Ningbo Hesheng Group,,"0,202",,,Personne 4,1,https://www.gem.wiki/%E5%93%88%E5%AF%86%E5%B8%82%E5%92%8C%E7%BF%94%E5%B7%A5%E8%B4%B8%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8%E5%88%AB%E6%96%AF%E5%BA%93%E9%83%BD%E5%85%8B%E9%9C%B2%E5%A4%A9%E7%85%A4%E7%9F%BF,détenu 100% par personne naturelle. Pas dans la liste BOCC
Yulin Yuyang District Energy Investment Company,Yulin City Investment Operation Group,"0,20015",Yulin City Investment Operation Group,2,Personne 4,1,https://www.gem.wiki/Yulin_Shanghe_power_station,People's Govenment of Yuyang Distric Yulin City
Maatla Resources Pty Ltd,,"0,2",,,Personne 4,1,,Détenu par HMS Bergbau AG qui n'apparait pas sur BOCC 67.4%
Shandong Provincial People's Government State-owned Assets Supervision and Administration Commission,Province of Shandong China,"0,1981",Province of Shandong China,3,Personne 4,1,,
Peabody Energy,Peabody Energy,"2,548",Peabody Energy,3,Personne 4,1,,
Shanxi Coking Coal Group,Shanxi Coking Coal Energy Group,"0,19796",Shanxi Coking Coal Energy Group,3,Personne 4,1,,
美锦能源集团有限公司,,"0,197",,,Personne 4,1,,
Ordos Energy Investment and Development Company,Ordos State-Owned Asset Investment Holdings Group,"0,1962",Ordos State-Owned Asset Investment Holdings Group,2,Personne 4,1,https://paper.people.com.cn/zgnyb/html/2018-11/19/content_1894016.htm?utm_source=chatgpt.com,
Fujian Jiujia Investment Company,,"0,195",,,Personne 4,1,https://www.gem.wiki/%E5%86%85%E8%92%99%E5%8F%A4%E5%AE%8F%E7%87%83%E8%83%BD%E6%BA%90%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8%E7%85%A4%E7%9F%BF,100% natural person
AP Mineral Development Corporation,,"0,194",,,Personne 4,1,https://www.india.gov.in/website-andhra-pradesh-mineral-development-corporation-ltd?page=1,functioning under Government of Andhra Pradesh
Shanxi Qinxin Energy Group,Shanxi Coking Coal Energy Group,"0,19061",Shanxi Coking Coal Energy Group,2,Personne 4,1,https://www.gem.wiki/%E5%B1%B1%E8%A5%BF%E6%96%B0%E8%B6%85%E7%85%A4%E4%B8%9A%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8,Sanxi Coking coal Energy Group est detenu 51% par Shanxi Qinxin Energy Group
Assets Supervision and Administration Commission of Henan Provincial People's Government,,"0,1872",,,Personne 4,1,,State owned by the Henan provincial department of finance
Inner Mongolia Kaiyuan Shiye Group,,"0,1865",,,Personne 4,1,,
Nippon Steel Corp,Mitsubishi,"0,184",Mitsubishi,1,Personne 4,1,http://gem.wiki/ArcelorMittal_Nippon_Steel_Hazira_Plant,46.5% détenu par Mitsubishi UFJ Trus and Banking Corp/ Financial Group
Tiefa Energy,,"0,183568",,,Personne 4,1,,équivalent de Liaoning Tiefa Energy. Mais pas sur la liste BOCC
