Series_Title,Released_Year,IMDB_Rating,Director,Star1,Star2,Star3,Star4,No_of_Votes
Gattaca,1997,7.8,Andrew Niccol,Ethan Hawke,Uma Thurman,Jude Law,Gore Vidal,280845
The Game,1997,7.8,David Fincher,Michael Douglas,Deborah Kara Unger,Sean Penn,James Rebhorn,345096
Breaking the Waves,1996,7.8,Lars von Trier,Emily Watson,Stellan Skarsgård,Katrin Cartlidge,Jean-Marc Barr,62428
Ed Wood,1994,7.8,Tim Burton,Johnny Depp,Martin Landau,Sarah Jessica Parker,Patricia Arquette,164937
What's Eating Gilbert Grape,1993,7.8,Lasse Hallström,Johnny Depp,Leonardo DiCaprio,Juliette Lewis,Mary Steenburgen,215034
Tombstone,1993,7.8,George P. Cosmatos,Kevin Jarre,Kurt Russell,Val Kilmer,Sam Elliott,126871
The Sandlot,1993,7.8,David Mickey Evans,Tom Guiry,Mike Vitar,Art LaFleur,Patrick Renna,78963
The Remains of the Day,1993,7.8,James Ivory,Anthony Hopkins,Emma Thompson,John Haycraft,Christopher Reeve,66065
Naked,1993,7.8,Mike Leigh,David Thewlis,Lesley Sharp,Katrin Cartlidge,Greg Cruttwell,34635
The Fugitive,1993,7.8,Andrew Davis,Harrison Ford,Tommy Lee Jones,Sela Ward,Julianne Moore,267684
A Bronx Tale,1993,7.8,Robert De Niro,Robert De Niro,Chazz Palminteri,Lillo Brancato,Francis Capra,128171
Batman: Mask of the Phantasm,1993,7.8,Kevin Altieri,Boyd Kirkland,Frank Paur,Dan Riba,Eric Radomski,43690
Lat sau san taam,1992,7.8,John Woo,Yun-Fat Chow,Tony Chiu-Wai Leung,Teresa Mo,Philip Chan,46700
Night on Earth,1991,7.8,Jim Jarmusch,Winona Ryder,Gena Rowlands,Lisanne Falk,Alan Randolph Scott,55362
La double vie de Véronique,1991,7.8,Krzysztof Kieslowski,Irène Jacob,Wladyslaw Kowalski,Halina Gryglaszewska,Kalina Jedrusik,42376
Boyz n the Hood,1991,7.8,John Singleton,Cuba Gooding Jr.,Laurence Fishburne,Hudhail Al-Amir,Lloyd Avery II,126082
Misery,1990,7.8,Rob Reiner,James Caan,Kathy Bates,Richard Farnsworth,Frances Sternhagen,184740
Awakenings,1990,7.8,Penny Marshall,Robert De Niro,Robin Williams,Julie Kavner,Ruth Nelson,125276
Majo no takkyûbin,1989,7.8,Hayao Miyazaki,Kirsten Dunst,Minami Takayama,Rei Sakuma,Kappei Yamaguchi,124193
Glory,1989,7.8,Edward Zwick,Matthew Broderick,Denzel Washington,Cary Elwes,Morgan Freeman,122779
Dip huet seung hung,1989,7.8,John Woo,Yun-Fat Chow,Danny Lee,Sally Yeh,Kong Chu,45624
Back to the Future Part II,1989,7.8,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,Thomas F. Wilson,481918
Mississippi Burning,1988,7.8,Alan Parker,Gene Hackman,Willem Dafoe,Frances McDormand,Brad Dourif,88214
Predator,1987,7.8,John McTiernan,Arnold Schwarzenegger,Carl Weathers,Kevin Peter Hall,Elpidia Carrillo,371387
Evil Dead II,1987,7.8,Sam Raimi,Bruce Campbell,Sarah Berry,Dan Hicks,Kassie Wesley DePaiva,148359
Ferris Bueller's Day Off,1986,7.8,John Hughes,Matthew Broderick,Alan Ruck,Mia Sara,Jeffrey Jones,321382
Down by Law,1986,7.8,Jim Jarmusch,Tom Waits,John Lurie,Roberto Benigni,Nicoletta Braschi,47834
The Goonies,1985,7.8,Richard Donner,Sean Astin,Josh Brolin,Jeff Cohen,Corey Feldman,244430
The Color Purple,1985,7.8,Steven Spielberg,Danny Glover,Whoopi Goldberg,Oprah Winfrey,Margaret Avery,78321
The Breakfast Club,1985,7.8,John Hughes,Emilio Estevez,Judd Nelson,Molly Ringwald,Ally Sheedy,357026
The Killing Fields,1984,7.8,Roland Joffé,Sam Waterston,Haing S. Ngor,John Malkovich,Julian Sands,51585
Ghostbusters,1984,7.8,Ivan Reitman,Bill Murray,Dan Aykroyd,Sigourney Weaver,Harold Ramis,355413
The Right Stuff,1983,7.8,Philip Kaufman,Sam Shepard,Scott Glenn,Ed Harris,Dennis Quaid,56235
The King of Comedy,1982,7.8,Martin Scorsese,Robert De Niro,Jerry Lewis,Diahnne Abbott,Sandra Bernhard,88511
E.T. the Extra-Terrestrial,1982,7.8,Steven Spielberg,Henry Thomas,Drew Barrymore,Peter Coyote,Dee Wallace,372490
Kramer vs. Kramer,1979,7.8,Robert Benton,Dustin Hoffman,Meryl Streep,Jane Alexander,Justin Henry,133351
Days of Heaven,1978,7.8,Terrence Malick,Richard Gere,Brooke Adams,Sam Shepard,Linda Manz,52852
The Outlaw Josey Wales,1976,7.8,Clint Eastwood,Clint Eastwood,Sondra Locke,Chief Dan George,Bill McKinney,65659
The Man Who Would Be King,1975,7.8,John Huston,Sean Connery,Michael Caine,Christopher Plummer,Saeed Jaffrey,44917
The Conversation,1974,7.8,Francis Ford Coppola,Gene Hackman,John Cazale,Allen Garfield,Frederic Forrest,98611
La planète sauvage,1973,7.8,René Laloux,Barry Bostwick,Jennifer Drake,Eric Baugin,Jean Topart,25229
The Day of the Jackal,1973,7.8,Fred Zinnemann,Edward Fox,Terence Alexander,Michel Auclair,Alan Badel,37445
Badlands,1973,7.8,Terrence Malick,Martin Sheen,Sissy Spacek,Warren Oates,Ramon Bieri,66009
Cabaret,1972,7.8,Bob Fosse,Liza Minnelli,Michael York,Helmut Griem,Joel Grey,48334
Willy Wonka & the Chocolate Factory,1971,7.8,Mel Stuart,Gene Wilder,Jack Albertson,Peter Ostrum,Roy Kinnear,178731
Midnight Cowboy,1969,7.8,John Schlesinger,Dustin Hoffman,Jon Voight,Sylvia Miles,John McGiver,101124
Wait Until Dark,1967,7.8,Terence Young,Audrey Hepburn,Alan Arkin,Richard Crenna,Efrem Zimbalist Jr.,27733
Guess Who's Coming to Dinner,1967,7.8,Stanley Kramer,Spencer Tracy,Sidney Poitier,Katharine Hepburn,Katharine Houghton,39642
Bonnie and Clyde,1967,7.8,Arthur Penn,Warren Beatty,Faye Dunaway,Michael J. Pollard,Gene Hackman,102415
My Fair Lady,1964,7.8,George Cukor,Audrey Hepburn,Rex Harrison,Stanley Holloway,Wilfrid Hyde-White,86525
Mary Poppins,1964,7.8,Robert Stevenson,Julie Andrews,Dick Van Dyke,David Tomlinson,Glynis Johns,158029
The Longest Day,1962,7.8,Ken Annakin,Andrew Marton,Gerd Oswald,Bernhard Wicki,Darryl F. Zanuck,52141
Jules et Jim,1962,7.8,François Truffaut,Jeanne Moreau,Oskar Werner,Henri Serre,Vanna Urbino,37605
The Innocents,1961,7.8,Jack Clayton,Deborah Kerr,Peter Wyngarde,Megs Jenkins,Michael Redgrave,27007
À bout de souffle,1960,7.8,Jean-Luc Godard,Jean-Paul Belmondo,Jean Seberg,Daniel Boulanger,Henri-Jacques Huet,73251
Red River,1948,7.8,Howard Hawks,Arthur Rosson,John Wayne,Montgomery Clift,Joanne Dru,28167
Key Largo,1948,7.8,John Huston,Humphrey Bogart,Edward G. Robinson,Lauren Bacall,Lionel Barrymore,36995
To Have and Have Not,1944,7.8,Howard Hawks,Humphrey Bogart,Lauren Bacall,Walter Brennan,Dolores Moran,31053
Shadow of a Doubt,1943,7.8,Alfred Hitchcock,Teresa Wright,Joseph Cotten,Macdonald Carey,Henry Travers,59556
Stagecoach,1939,7.8,John Ford,John Wayne,Claire Trevor,Andy Devine,John Carradine,43621
The Lady Vanishes,1938,7.8,Alfred Hitchcock,Margaret Lockwood,Michael Redgrave,Paul Lukas,May Whitty,47400
Bringing Up Baby,1938,7.8,Howard Hawks,Katharine Hepburn,Cary Grant,Charles Ruggles,Walter Catlett,55163
Bride of Frankenstein,1935,7.8,James Whale,Boris Karloff,Elsa Lanchester,Colin Clive,Valerie Hobson,43542
Duck Soup,1933,7.8,Leo McCarey,Groucho Marx,Harpo Marx,Chico Marx,Zeppo Marx,55581
Scarface: The Shame of the Nation,1932,7.8,Howard Hawks,Richard Rosson,Paul Muni,Ann Dvorak,Karen Morley,25312
Frankenstein,1931,7.8,James Whale,Colin Clive,Mae Clarke,Boris Karloff,John Boles,65341
Roma,2018,7.7,Alfonso Cuarón,Yalitza Aparicio,Marina de Tavira,Diego Cortina Autrey,Carlos Peralta,140375
God's Own Country,2017,7.7,Francis Lee,Josh O'Connor,Alec Secareanu,Gemma Jones,Ian Hart,25198
Deadpool 2,2018,7.7,David Leitch,Ryan Reynolds,Josh Brolin,Morena Baccarin,Julian Dennison,478586
Wind River,2017,7.7,Taylor Sheridan,Kelsey Asbille,Jeremy Renner,Julia Jones,Teo Briones,205444
Get Out,2017,7.7,Jordan Peele,Daniel Kaluuya,Allison Williams,Bradley Whitford,Catherine Keener,492851
Mission: Impossible - Fallout,2018,7.7,Christopher McQuarrie,Tom Cruise,Henry Cavill,Ving Rhames,Simon Pegg,291257
En man som heter Ove,2015,7.7,Hannes Holm,Rolf Lassgård,Bahar Pars,Filip Berg,Ida Engvoll,47444
What We Do in the Shadows,2014,7.7,Jemaine Clement,Taika Waititi,Jemaine Clement,Taika Waititi,Cori Gonzalez-Macuer,157498
Omoide no Mânî,2014,7.7,James Simone,Hiromasa Yonebayashi,Sara Takatsuki,Kasumi Arimura,Nanako Matsushima,32798
The Theory of Everything,2014,7.7,James Marsh,Eddie Redmayne,Felicity Jones,Tom Prior,Sophie Perry,404182
Kingsman: The Secret Service,2014,7.7,Matthew Vaughn,Colin Firth,Taron Egerton,Samuel L. Jackson,Michael Caine,590440
The Fault in Our Stars,2014,7.7,Josh Boone,Shailene Woodley,Ansel Elgort,Nat Wolff,Laura Dern,344312
Me and Earl and the Dying Girl,2015,7.7,Alfonso Gomez-Rejon,Thomas Mann,RJ Cyler,Olivia Cooke,Nick Offerman,123210
Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,Alejandro G. Iñárritu,Michael Keaton,Zach Galifianakis,Edward Norton,Andrea Riseborough,580291
La vie d'Adèle,2013,7.7,Abdellatif Kechiche,Léa Seydoux,Adèle Exarchopoulos,Salim Kechiouche,Aurélien Recoing,138741
Kai po che!,2013,7.7,Abhishek Kapoor,Amit Sadh,Sushant Singh Rajput,Rajkummar Rao,Amrita Puri,32628
The Broken Circle Breakdown,2012,7.7,Felix van Groeningen,Veerle Baetens,Johan Heldenbergh,Nell Cattrysse,Geert Van Rampelberg,39379
Captain America: The Winter Soldier,2014,7.7,Anthony Russo,Joe Russo,Chris Evans,Samuel L. Jackson,Scarlett Johansson,736182
Rockstar,2011,7.7,Imtiaz Ali,Ranbir Kapoor,Nargis Fakhri,Shammi Kapoor,Kumud Mishra,39501
Nebraska,2013,7.7,Alexander Payne,Bruce Dern,Will Forte,June Squibb,Bob Odenkirk,112298
Wreck-It Ralph,2012,7.7,Rich Moore,John C. Reilly,Jack McBrayer,Jane Lynch,Sarah Silverman,380195
Le Petit Prince,2015,7.7,Mark Osborne,Jeff Bridges,Mackenzie Foy,Rachel McAdams,Marion Cotillard,56720
Detachment,2011,7.7,Tony Kaye,Adrien Brody,Christina Hendricks,Marcia Gay Harden,Lucy Liu,77071
Midnight in Paris,2011,7.7,Woody Allen,Owen Wilson,Rachel McAdams,Kathy Bates,Kurt Fuller,388089
The Lego Movie,2014,7.7,Christopher Miller,Phil Lord,Chris Pratt,Will Ferrell,Elizabeth Banks,323982
Gravity,2013,7.7,Alfonso Cuarón,Sandra Bullock,George Clooney,Ed Harris,Orto Ignatiussen,769145
Star Trek Into Darkness,2013,7.7,J.J. Abrams,Chris Pine,Zachary Quinto,Zoe Saldana,Benedict Cumberbatch,463188
Beasts of No Nation,2015,7.7,Cary Joji Fukunaga,Abraham Attah,Emmanuel Affadzi,Ricky Adelayitor,Andrew Adote,73964
The Social Network,2010,7.7,David Fincher,Jesse Eisenberg,Andrew Garfield,Justin Timberlake,Rooney Mara,624982
X: First Class,2011,7.7,Matthew Vaughn,James McAvoy,Michael Fassbender,Jennifer Lawrence,Kevin Bacon,645512
The Hangover,2009,7.7,Todd Phillips,Zach Galifianakis,Bradley Cooper,Justin Bartha,Ed Helms,717559
Skyfall,2012,7.7,Sam Mendes,Daniel Craig,Javier Bardem,Naomie Harris,Judi Dench,630614
Silver Linings Playbook,2012,7.7,David O. Russell,Bradley Cooper,Jennifer Lawrence,Robert De Niro,Jacki Weaver,661871
Argo,2012,7.7,Ben Affleck,Ben Affleck,Bryan Cranston,John Goodman,Alan Arkin,572581
(500) Days of Summer,2009,7.7,Marc Webb,Zooey Deschanel,Joseph Gordon-Levitt,Geoffrey Arend,Chloë Grace Moretz,472242
Harry Potter and the Deathly Hallows: Part 1,2010,7.7,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Bill Nighy,479120
Gake no ue no Ponyo,2008,7.7,Hayao Miyazaki,Cate Blanchett,Matt Damon,Liam Neeson,Tomoko Yamaguchi,125317
Frost/Nixon,2008,7.7,Ron Howard,Frank Langella,Michael Sheen,Kevin Bacon,Sam Rockwell,103330
Papurika,2006,7.7,Satoshi Kon,Megumi Hayashibara,Tôru Emori,Katsunosuke Hori,Tôru Furuya,71379
Changeling,2008,7.7,Clint Eastwood,Angelina Jolie,Colm Feore,Amy Ryan,Gattlin Griffith,239203
Flipped,2010,7.7,Rob Reiner,Madeline Carroll,Callan McAuliffe,Rebecca De Mornay,Anthony Edwards,81446
Toki o kakeru shôjo,2006,7.7,Mamoru Hosoda,Riisa Naka,Takuya Ishida,Mitsutaka Itakura,Ayami Kakiuchi,60368
Death Note: Desu nôto,2006,7.7,Shûsuke Kaneko,Tatsuya Fujiwara,Ken'ichi Matsuyama,Asaka Seto,Yû Kashii,28630
This Is England,2006,7.7,Shane Meadows,Thomas Turgoose,Stephen Graham,Jo Hartley,Andrew Shim,115576
Ex Machina,2014,7.7,Alex Garland,Alicia Vikander,Domhnall Gleeson,Oscar Isaac,Sonoya Mizuno,474141
Efter brylluppet,2006,7.7,Susanne Bier,Mads Mikkelsen,Sidse Babett Knudsen,Rolf Lassgård,Neeral Mulchandani,32001
The Last King of Scotland,2006,7.7,Kevin Macdonald,James McAvoy,Forest Whitaker,Gillian Anderson,Kerry Washington,175355
Zodiac,2007,7.7,David Fincher,Jake Gyllenhaal,Robert Downey Jr.,Mark Ruffalo,Anthony Edwards,466080
Lucky Number Slevin,2006,7.7,Paul McGuigan,Josh Hartnett,Ben Kingsley,Morgan Freeman,Lucy Liu,299524
Joyeux Noël,2005,7.7,Christian Carion,Diane Kruger,Benno Fürmann,Guillaume Canet,Natalie Dessay,28003
Control,2007,7.7,Anton Corbijn,Sam Riley,Samantha Morton,Craig Parkinson,Alexandra Maria Lara,61609
Tangled,2010,7.7,Nathan Greno,Byron Howard,Mandy Moore,Zachary Levi,Donna Murphy,405922
Zwartboek,2006,7.7,Paul Verhoeven,Carice van Houten,Sebastian Koch,Thom Hoffman,Halina Reijn,72643
Brokeback Mountain,2005,7.7,Ang Lee,Jake Gyllenhaal,Heath Ledger,Michelle Williams,Randy Quaid,323103
3:10 to Yuma,2007,7.7,James Mangold,Russell Crowe,Christian Bale,Ben Foster,Logan Lerman,288797
Crash,2004,7.7,Paul Haggis,Don Cheadle,Sandra Bullock,Thandie Newton,Karina Arroyave,419483
Kung fu,2004,7.7,Stephen Chow,Stephen Chow,Wah Yuen,Qiu Yuen,Siu-Lung Leung,127250
The Bourne Supremacy,2004,7.7,Paul Greengrass,Matt Damon,Franka Potente,Joan Allen,Brian Cox,434841
The Machinist,2004,7.7,Brad Anderson,Christian Bale,Jennifer Jason Leigh,Aitana Sánchez-Gijón,John Sharian,358432
Ray,2004,7.7,Taylor Hackford,Jamie Foxx,Regina King,Kerry Washington,Clifton Powell,138356
Lost in Translation,2003,7.7,Sofia Coppola,Bill Murray,Scarlett Johansson,Giovanni Ribisi,Anna Faris,415074
Harry Potter and the Goblet of Fire,2005,7.7,Mike Newell,Daniel Radcliffe,Emma Watson,Rupert Grint,Eric Sykes,548619
Man on Fire,2004,7.7,Tony Scott,Denzel Washington,Christopher Walken,Dakota Fanning,Radha Mitchell,329592
Coraline,2009,7.7,Henry Selick,Dakota Fanning,Teri Hatcher,John Hodgman,Jennifer Saunders,197761
The Last Samurai,2003,7.7,Edward Zwick,Tom Cruise,Ken Watanabe,Billy Connolly,William Atherton,400049
The Magdalene Sisters,2002,7.7,Peter Mullan,Eileen Walsh,Dorothy Duffy,Nora-Jane Noone,Anne-Marie Duff,25938
Good Bye Lenin!,2003,7.7,Wolfgang Becker,Daniel Brühl,Katrin Saß,Chulpan Khamatova,Florian Lukas,137981
In America,2002,7.7,Jim Sheridan,Paddy Considine,Samantha Morton,Djimon Hounsou,Sarah Bolger,40403
I Am Sam,2001,7.7,Jessie Nelson,Sean Penn,Michelle Pfeiffer,Dakota Fanning,Dianne Wiest,142863
Adaptation.,2002,7.7,Spike Jonze,Nicolas Cage,Meryl Streep,Chris Cooper,Tilda Swinton,178565
Black Hawk Down,2001,7.7,Ridley Scott,Josh Hartnett,Ewan McGregor,Tom Sizemore,Eric Bana,364254
Road to Perdition,2002,7.7,Sam Mendes,Tom Hanks,Tyler Hoechlin,Rob Maxey,Liam Aiken,246840
Das Experiment,2001,7.7,Oliver Hirschbiegel,Moritz Bleibtreu,Christian Berkel,Oliver Stokowski,Wotan Wilke Möhring,90842
Billy Elliot,2000,7.7,Stephen Daldry,Jamie Bell,Julie Walters,Jean Heywood,Jamie Draven,126770
Hedwig and the Angry Inch,2001,7.7,John Cameron Mitchell,John Cameron Mitchell,Miriam Shor,Stephen Trask,Theodore Liscinski,31957
Ocean's Eleven,2001,7.7,Steven Soderbergh,George Clooney,Brad Pitt,Julia Roberts,Matt Damon,516372
Vampire Hunter D: Bloodlust,2000,7.7,Yoshiaki Kawajiri,Andrew Philpot,John Rafter Lee,Pamela Adlon,Wendee Lee,29210
"O Brother, Where Art Thou?",2000,7.7,Joel Coen,Ethan Coen,George Clooney,John Turturro,Tim Blake Nelson,286742
Interstate 60: Episodes of the Road,2002,7.7,Bob Gale,James Marsden,Gary Oldman,Kurt Russell,Matthew Edison,29999
"South Park: Bigger, Longer & Uncut",1999,7.7,Trey Parker,Trey Parker,Matt Stone,Mary Kay Bergman,Isaac Hayes,192112
Office Space,1999,7.7,Mike Judge,Ron Livingston,Jennifer Aniston,David Herman,Ajay Naidu,241575
Happiness,1998,7.7,Todd Solondz,Jane Adams,Jon Lovitz,Philip Seymour Hoffman,Dylan Baker,66408
Training Day,2001,7.7,Antoine Fuqua,Denzel Washington,Ethan Hawke,Scott Glenn,Tom Berenger,390247
Rushmore,1998,7.7,Wes Anderson,Jason Schwartzman,Bill Murray,Olivia Williams,Seymour Cassel,169229
Abre los ojos,1997,7.7,Alejandro Amenábar,Eduardo Noriega,Penélope Cruz,Chete Lera,Fele Martínez,64082
Being John Malkovich,1999,7.7,Spike Jonze,John Cusack,Cameron Diaz,Catherine Keener,John Malkovich,312542
As Good as It Gets,1997,7.7,James L. Brooks,Jack Nicholson,Helen Hunt,Greg Kinnear,Cuba Gooding Jr.,275755
The Fifth Element,1997,7.7,Luc Besson,Bruce Willis,Milla Jovovich,Gary Oldman,Ian Holm,434125
Le dîner de cons,1998,7.7,Francis Veber,Thierry Lhermitte,Jacques Villeret,Francis Huster,Daniel Prévost,37424
Donnie Brasco,1997,7.7,Mike Newell,Al Pacino,Johnny Depp,Michael Madsen,Bruno Kirby,279318
Shine,1996,7.7,Scott Hicks,Geoffrey Rush,Armin Mueller-Stahl,Justin Braine,Sonia Todd,51350
Primal Fear,1996,7.7,Gregory Hoblit,Richard Gere,Laura Linney,Edward Norton,John Mahoney,189716
Hamlet,1996,7.7,Kenneth Branagh,Kenneth Branagh,Julie Christie,Derek Jacobi,Kate Winslet,35991
A Little Princess,1995,7.7,Alfonso Cuarón,Liesel Matthews,Eleanor Bron,Liam Cunningham,Rusty Schwimmer,32236
Do lok tin si,1995,7.7,Kar-Wai Wong,Leon Lai,Michelle Reis,Takeshi Kaneshiro,Charlie Yeung,26429
Il postino,1994,7.7,Michael Radford,Massimo Troisi,Massimo Troisi,Philippe Noiret,Maria Grazia Cucinotta,33600
Clerks,1994,7.7,Kevin Smith,Brian O'Halloran,Jeff Anderson,Marilyn Ghigliotti,Lisa Spoonauer,211450
Short Cuts,1993,7.7,Robert Altman,Andie MacDowell,Julianne Moore,Tim Robbins,Bruce Davison,42275
Philadelphia,1993,7.7,Jonathan Demme,Tom Hanks,Denzel Washington,Roberta Maxwell,Buzz Kilman,224169
The Muppet Christmas Carol,1992,7.7,Brian Henson,Michael Caine,Kermit the Frog,Dave Goelz,Miss Piggy,50298
Malcolm X,1992,7.7,Spike Lee,Denzel Washington,Angela Bassett,Delroy Lindo,Spike Lee,85819
The Last of the Mohicans,1992,7.7,Michael Mann,Daniel Day-Lewis,Madeleine Stowe,Russell Means,Eric Schweig,150409
Kurenai no buta,1992,7.7,Hayao Miyazaki,Shûichirô Moriyama,Tokiko Katô,Bunshi Katsura Vi,Tsunehiko Kamijô,77798
Glengarry Glen Ross,1992,7.7,James Foley,Al Pacino,Jack Lemmon,Alec Baldwin,Alan Arkin,95826
A Few Good Men,1992,7.7,Rob Reiner,Tom Cruise,Jack Nicholson,Demi Moore,Kevin Bacon,235388
Fried Green Tomatoes,1991,7.7,Jon Avnet,Kathy Bates,Jessica Tandy,Mary Stuart Masterson,Mary-Louise Parker,66941
Barton Fink,1991,7.7,Joel Coen,Ethan Coen,John Turturro,John Goodman,Judy Davis,113240
Miller's Crossing,1990,7.7,Joel Coen,Ethan Coen,Gabriel Byrne,Albert Finney,John Turturro,125822
Who Framed Roger Rabbit,1988,7.7,Robert Zemeckis,Bob Hoskins,Christopher Lloyd,Joanna Cassidy,Charles Fleischer,182009
Spoorloos,1988,7.7,George Sluizer,Bernard-Pierre Donnadieu,Gene Bervoets,Johanna ter Steege,Gwen Eckhaus,33982
Withnail & I,1987,7.7,Bruce Robinson,Richard E. Grant,Paul McGann,Richard Griffiths,Ralph Brown,40396
The Last Emperor,1987,7.7,Bernardo Bertolucci,John Lone,Joan Chen,Peter O'Toole,Ruocheng Ying,94326
Empire of the Sun,1987,7.7,Steven Spielberg,Christian Bale,John Malkovich,Miranda Richardson,Nigel Havers,115677
Der Name der Rose,1986,7.7,Jean-Jacques Annaud,Sean Connery,Christian Slater,Helmut Qualtinger,Elya Baskin,102031
Blue Velvet,1986,7.7,David Lynch,Isabella Rossellini,Kyle MacLachlan,Dennis Hopper,Laura Dern,181285
The Purple Rose of Cairo,1985,7.7,Woody Allen,Mia Farrow,Jeff Daniels,Danny Aiello,Irving Metzman,47102
After Hours,1985,7.7,Martin Scorsese,Griffin Dunne,Rosanna Arquette,Verna Bloom,Tommy Chong,59635
Zelig,1983,7.7,Woody Allen,Woody Allen,Mia Farrow,Patrick Horgan,John Buckwalter,39881
The Verdict,1982,7.7,Sidney Lumet,Paul Newman,Charlotte Rampling,Jack Warden,James Mason,36096
Star Trek II: The Wrath of Khan,1982,7.7,Nicholas Meyer,William Shatner,Leonard Nimoy,DeForest Kelley,James Doohan,112704
First Blood,1982,7.7,Ted Kotcheff,Sylvester Stallone,Brian Dennehy,Richard Crenna,Bill McKinney,226541
Ordinary People,1980,7.7,Robert Redford,Donald Sutherland,Mary Tyler Moore,Judd Hirsch,Timothy Hutton,47099
Airplane!,1980,7.7,Jim Abrahams,David Zucker,Jerry Zucker,Robert Hays,Julie Hagerty,214882
Rupan sansei: Kariosutoro no shiro,1979,7.7,Hayao Miyazaki,Yasuo Yamada,Eiko Masuyama,Kiyoshi Kobayashi,Makio Inoue,27014
Halloween,1978,7.7,John Carpenter,Donald Pleasence,Jamie Lee Curtis,Tony Moran,Nancy Kyes,233106
Le locataire,1976,7.7,Roman Polanski,Roman Polanski,Isabelle Adjani,Melvyn Douglas,Jo Van Fleet,39889
Love and Death,1975,7.7,Woody Allen,Woody Allen,Diane Keaton,Georges Adet,Frank Adu,36037
The Taking of Pelham One Two Three,1974,7.7,Joseph Sargent,Walter Matthau,Robert Shaw,Martin Balsam,Hector Elizondo,26729
Blazing Saddles,1974,7.7,Mel Brooks,Cleavon Little,Gene Wilder,Slim Pickens,Harvey Korman,125993
Serpico,1973,7.7,Sidney Lumet,Al Pacino,John Randolph,Jack Kehoe,Biff McGuire,109941
Enter the Dragon,1973,7.7,Robert Clouse,Bruce Lee,John Saxon,Jim Kelly,Ahna Capri,96561
Deliverance,1972,7.7,John Boorman,Jon Voight,Burt Reynolds,Ned Beatty,Ronny Cox,98740
The French Connection,1971,7.7,William Friedkin,Gene Hackman,Roy Scheider,Fernando Rey,Tony Lo Bianco,110075
Dirty Harry,1971,7.7,Don Siegel,Clint Eastwood,Andrew Robinson,Harry Guardino,Reni Santoni,143292
Where Eagles Dare,1968,7.7,Brian G. Hutton,Richard Burton,Clint Eastwood,Mary Ure,Patrick Wymark,51913
The Odd Couple,1968,7.7,Gene Saks,Jack Lemmon,Walter Matthau,John Fiedler,Herb Edelman,31572
The Dirty Dozen,1967,7.7,Robert Aldrich,Lee Marvin,Ernest Borgnine,Charles Bronson,John Cassavetes,67183
Belle de jour,1967,7.7,Luis Buñuel,Catherine Deneuve,Jean Sorel,Michel Piccoli,Geneviève Page,40274
A Man for All Seasons,1966,7.7,Fred Zinnemann,Paul Scofield,Wendy Hiller,Robert Shaw,Leo McKern,31222
Repulsion,1965,7.7,Roman Polanski,Catherine Deneuve,Ian Hendry,John Fraser,Yvonne Furneaux,48883
Zulu,1964,7.7,Cy Endfield,Stanley Baker,Jack Hawkins,Ulla Jacobsson,James Booth,35999
Goldfinger,1964,7.7,Guy Hamilton,Sean Connery,Gert Fröbe,Honor Blackman,Shirley Eaton,174119
The Birds,1963,7.7,Alfred Hitchcock,Rod Taylor,Tippi Hedren,Jessica Tandy,Suzanne Pleshette,171739
Cape Fear,1962,7.7,J. Lee Thompson,Gregory Peck,Robert Mitchum,Polly Bergen,Lori Martin,26457
Peeping Tom,1960,7.7,Michael Powell,Karlheinz Böhm,Anna Massey,Moira Shearer,Maxine Audley,31354
The Magnificent Seven,1960,7.7,John Sturges,Yul Brynner,Steve McQueen,Charles Bronson,Eli Wallach,87719
Les yeux sans visage,1960,7.7,Georges Franju,Pierre Brasseur,Alida Valli,Juliette Mayniel,Alexandre Rignault,27620
Invasion of the Body Snatchers,1956,7.7,Don Siegel,Kevin McCarthy,Dana Wynter,Larry Gates,King Donovan,44839
Rebel Without a Cause,1955,7.7,Nicholas Ray,James Dean,Natalie Wood,Sal Mineo,Jim Backus,83363
The Ladykillers,1955,7.7,Alexander Mackendrick,Alec Guinness,Peter Sellers,Cecil Parker,Herbert Lom,26464
Sabrina,1954,7.7,Billy Wilder,Humphrey Bogart,Audrey Hepburn,William Holden,Walter Hampden,59415
The Quiet Man,1952,7.7,John Ford,John Wayne,Maureen O'Hara,Barry Fitzgerald,Ward Bond,34677
The Day the Earth Stood Still,1951,7.7,Robert Wise,Michael Rennie,Patricia Neal,Hugh Marlowe,Sam Jaffe,76315
The African Queen,1951,7.7,John Huston,Humphrey Bogart,Katharine Hepburn,Robert Morley,Peter Bull,71481
Gilda,1946,7.7,Charles Vidor,Rita Hayworth,Glenn Ford,George Macready,Joseph Calleia,27991
Fantasia,1940,7.7,James Algar,Samuel Armstrong,Ford Beebe Jr.,Norman Ferguson,David Hand,88662
The Invisible Man,1933,7.7,James Whale,Claude Rains,Gloria Stuart,William Harrigan,Henry Travers,30683
Dark Waters,2019,7.6,Todd Haynes,Mark Ruffalo,Anne Hathaway,Tim Robbins,Bill Pullman,60408
Searching,2018,7.6,Aneesh Chaganty,John Cho,Debra Messing,Joseph Lee,Michelle La,140840
