New_project;Carbon_Bomb_Name;Country;Potential_GtCO2;Fuel_type;GEM_ID;GEM_source;Latitude;Longitude;Operators;Owners;Parent_Company;Multiple_unit_concerned
False;Shengli East No.2 Coal Mine;China;4.5936618;Coal;M0336;https://www.gem.wiki/Shengli_East_No.2_open-pit_mine;44.06697;116.22348;Inner Mongolia Datang International Xilinhaote Mining Company;China Datang (35.34%), HKSCC NOMINEES LIMITED (32.9%), Tianjin Energy Investment Group (7%), Hebei Construction & Investment Group(6.93%), Beijing Energy (6.81%), Others (3.27%);China Datang (35.34%), HKSCC Nominees Limited (32.9%), Tianjin Energy Investment Group (7%), Hebei Construction & Investment Group(6.93%), Beijing Energy (6.81%), Others (3.27%);
False;Shengli East No.2 Coal Mine;China;4.5936618;Coal;M0336;https://www.gem.wiki/Shengli_East_No.2_open-pit_mine;44.06697;116.22348;Inner Mongolia Datang International Xilinhaote Mining Company;China Datang (35.34%), HKSCC NOMINEES LIMITED (32.9%), Tianjin Energy Investment Group (7%), Hebei Construction & Investment Group(6.93%), Beijing Energy (6.81%), Others (3.27%);China Datang (35.34%), HKSCC Nominees Limited (32.9%), Tianjin Energy Investment Group (7%), Hebei Construction & Investment Group(6.93%), Beijing Energy (6.81%), Others (3.27%);
False;Chahasu Coal Mine;China;4.208464524;Coal;M0190;https://www.gem.wiki/Chahasu_mine;39.302564;109.965281;Guodian & Jiantou Inner Mongolia Energy Investment Company;National Energy Investment Group (50%), Hebei Construction & Investment Group (50%);China Energy (50%), Hebei Construction & Investment Group (50%);
False;Majialiang Coal Mine;China;3.17044332;Coal;M0287;https://www.gem.wiki/Majialiang_Coal_Mine;39.179446;112.420825;Datong Coal Mining Group Xuangang Coal and Electricity;Jinneng Holding Group;Jinneng Holding Group (88%), Others (12%);
False;Yushuwan Coal Mine;China;2.82630744;Coal;M0419;https://www.gem.wiki/Yushuwan_Coal_Mine;38.557184;109.897685;Yulin Yushen Yushuwan Coal Mine Company;Shaanxi Yulin Energy Group (50%), Shenmu Coal Company (20%), Yulin Yuyang Coal Company (20%), Yanchang Oil and Minerals Administration Hengshan Oil Drilling and Production Company (10%);Shaanxi Yulin Energy Group (50%), Shenmu Coal Company (20%), Yulin Yuyang Coal Company (20%), Yanchang Oil and Minerals Administration Hengshan Oil Drilling and Production Company (10%);
False;Huangyuchuan Coal Mine;China;2.261021545;Coal;M0253;https://www.gem.wiki/Huangyuchuan_mine;39.67209;111.183497;China Energy Elion Energy Company;National Energy Investment Group (37%), Elion Group (49%), Others (14%);China Energy (37%), Elion Group (49%), Others (14%);
False;Dongzhouyao Coal Mine;China;2.152948235;Coal;M0210;https://www.gem.wiki/Dongzhouyao_mine;40.020636;112.863555;Jinneng Holding Coal Industry Group Dongzhouyao Datong Company;Jinneng Holding Group;Jinneng Group;
False;Longwanggou Coal Mine;China;1.922670077;Coal;M0282;https://www.gem.wiki/Longwanggou_mine;39.810538;111.214212;Ordos Guoyuan Mining Development Company;China Datang Corporation (51%), Luen Mei Group (49%);China Datang (51%), Luen Mei Group (49%);
False;Tongxin Coal Mine;China;1.56861936;Coal;M0363;https://www.gem.wiki/Tongxin_Coal_Mine;40.013182;113.103349;Jinneng Holding Group Tongxin Coal Mine Shanxi Company;Jinneng Holding Group Tongxin Coal Mine Shanxi Company;Jinneng Group (45.62%), China Energy (30%), China Cinda Asset Management Company (21.08%), Others(3.3%);
False;Xiwan Surface Coal Mine;China;1.529598563;Coal;M0398;https://www.gem.wiki/Xiwan_surface_mine;38.6047;110.064;Shaan Xi Shenyan Coal Company;National Energy Investment Group (51%), Shaanxi Yanchang Petroleum and Mining Company (49%);China Energy (51%), Shaanxi Yanchang Petroleum and Mining Company (49%);
False;Zhangjiamao Coal Mine;China;1.324312968;Coal;M0427;https://www.gem.wiki/Zhangjiamao_Coal_Mine;38.936832;110.402261;Shaanxi Coal Group, Shenmu Zhangjiamao Mining Company;Shaanxi Coal and Chemical Industry Group (35%), Shenmu State-Owned Assets Operation Company (45%), Others (20%);Shaanxi Coal and Chemical Industry Group (35%), Shenmu State-Owned Assets Operation Company (45%), Others (20%);
False;Liuzhuang Coal Mine;China;1.52054364;Coal;M0280;https://www.gem.wiki/Liuzhuang_Coal_Mine;32.805365;116.285412;China Coal Xinji Energy;China Coal (30%), Guohua Energy Company (7%), Anhui Xinji Coal and Electricity Group (7%), Others (55%);China Coal (30%), China Energy (7%), Anhui Xinji Coal and Electricity Group (7%), Others (55%);
False;Menkeqing Coal Mine;China;3.685914936;Coal;M0293;https://www.gem.wiki/Menkeqing_mine;38.901778;109.538887;Zhongtian Hechuang Energy Company;China Coal (38%), Sinopec (38%), Shenergy (13%), Manshi Group (10%), Others (1%);China Coal (38%), Sinopec (38%), Shenergy (13%), Manshi Group (10%), Others (1%);
False;Meihuajing Coal Mine;China;3.49749444;Coal;M0291;https://www.gem.wiki/Meihuajing_Coal_Mine;38.096785;106.718029;China Energy Group Ningxia Coal Industry Company;China Energy (51%), Ningxia State-Owned Capital Operation Group (49%);China Energy (51%), Ningxia State-Owned Capital Operation Group (49%);
False;Shigetai Coal Mine;China;1.19330253;Coal;M0343;https://www.gem.wiki/Shigetai_Coal_Mine;39.412064;110.13213;China Shenhua Energy;National Energy Investment Group (69%), HKSCC Nominees Limited (17%), Others (14%);China Energy (69%), HKSCC Nominees Limited (17%), Others (14%);
False;Yangchangwan No.1 Well Coal Mine;China;1.0738992;Coal;M0403;https://www.gem.wiki/Yangchangwan_Coal_Mine,_No.1_Well;38.08372;106.642094;China Energy Group Ningxia Coal Industry Company;Inner Mongolia Yitai Group (52%), Guangdong Energy (24%), Beijing Jingneng Power Company (24%);China Energy (51%), Ningxia State-Owned Capital Operation Group (49%);
False;Zhangji Coal Mine;China;2.193932928;Coal;M0426;https://www.gem.wiki/Zhangji_Coal_Mine;32.746348;116.515103;Huainan Mining Group;Huaihe Energy Holding Group (83%), China Cinda Asset Management Company (8%), National Energy Investment Group (3%), Others (6%);Huaihe Energy (83%), China Cinda Asset Management Company (8%), China Energy (3%), Others (6%);
False;Hulusu Coal Mine;China;3.963176184;Coal;M0255;https://www.gem.wiki/Hulusu_coal_mine;39.047968;109.500809;Zhongtian Hechuang Energy Company;China Coal (38%), Sinopec (38%), Shenergy (13%), Manshi Group (10%), Others (1%);China Coal (38%), Sinopec (38%), Shenergy (13%), Manshi Group (10%), Others (1%);
False;Baode Coal Mine;China;1.65844206;Coal;M0178;https://www.gem.wiki/Baode_Coal_Mine;38.950871;111.089441;China Shenhua Energy;National Energy Investment Group (69%), HKSCC Nominees Limited (17%), Others (14%);China Energy (69%), HKSCC Nominees Limited (17%), Others (14%);
False;Tashan Coal Mine;China;9.003555;Coal;M0358;https://www.gem.wiki/Tashan_Coal_Mine;39.924229;113.070254;Datong Datang Tashan Coal Mining Company;Jinneng Holding Group (41%), China Datang (9%), HKSCC Nominees Limited (9%), Others (41%);Jinneng Group (41%), China Datang (9%), HKSCC Nominees Limited (9%), Others (41%);
